iter	RMSE
0	9971285.16
1	9332720.821
2	8735425.128
3	8200780.067
4	7686738.407
5	7198587.794
6	6745414.182
7	6332641.841
8	5939748.291
9	5576505.595
10	5229851.347
11	4912061.165
12	4617377.712
13	4336956.068
14	4080569.95
15	3835427.036
16	3609115.016
17	3391439.304
18	3193245.644
19	3005310.527
20	2834132.129
21	2673528.455
22	2521920.808
23	2380519.044
24	2253528.192
25	2130217.655
26	2018237.851
27	1912159.963
28	1812552.515
29	1718635.91
30	1631232.017
31	1550650.067
32	1475171.722
33	1407930.052
34	1341508.396
35	1279406.19
36	1223883.968
37	1170042.524
38	1121029.126
39	1076809.893
40	1033425.711
41	996428.4854
42	961169.9336
43	927794.9047
44	895115.1771
45	865969.4335
46	839496.6338
47	814782.166
48	793193.087
49	772486.062
50	751575.1232
51	733139.0872
52	717112.3017
53	701776.2072
54	687573.8867
55	673886.898
56	660919.2103
57	649085.6637
58	639019.2736
59	627891.9278
60	618031.2672
61	609240.6065
62	600034.232
63	591993.2856
64	583771.5138
65	575970.5777
66	568925.6758
67	562744.5224
68	556662.7548
69	549257.4351
70	543894.0259
71	539221.8782
72	533644.0094
73	528753.3926
74	523798.7721
75	519108.8769
76	515305.7549
77	511237.401
78	506783.7842
79	503358.1423
80	499302.6146
81	495531.0625
82	491310.1395
83	488057.0789
84	485351.8807
85	482452.2812
86	478725.6939
87	475978.6288
88	473101.1495
89	470724.3626
90	468271.2363
91	466349.5209
92	463124.8158
93	460646.3475
94	458436.1818
95	456749.5389
96	454547.0826
97	452682.8866
98	451011.9619
99	448425.3186
100	446124.7553
101	443632.8876
102	441802.5964
103	439719.7184
104	438274.6099
105	435652.4054
106	433465.7235
107	431998.7866
108	429857.9608
109	428575.2117
110	426795.9024
111	425509.0885
112	423990.6536
113	422384.2707
114	421043.7545
115	419619.0754
116	418186.8764
117	416153.5309
118	414475.3129
119	413115.1858
120	411759.0329
121	410892.6789
122	409496.5429
123	408260.794
124	406383.0612
125	404761.6221
126	403641.5359
127	402679.2812
128	401437.4656
129	400588.1192
130	399323.8226
131	398261.4648
132	397411.8169
133	396270.2354
134	395494.9864
135	394714.688
136	393973.5154
137	393096.4824
138	392068.5726
139	391026.3064
140	389851.8527
141	388956.0915
142	387800.8139
143	387268.4944
144	386482.9636
145	385526.9194
146	384526.7605
147	383586.4152
148	382852.3535
149	382155.2904
150	381275.3065
151	380241.4309
152	379416.0544
153	378677.8814
154	378004.7387
155	377443.6516
156	376699.1652
157	376195.5039
158	375527.3035
159	375020.4083
160	374496.4824
161	373315.1904
162	372639.9362
163	371976.173
164	371405.8949
165	370429.2148
166	369880.9331
167	369221.9128
168	368563.8792
169	367978.6996
170	367427.3551
171	366938.096
172	366436.5682
173	365864.2659
174	365677.6589
175	365115.491
176	364622.9822
177	364072.417
178	363873.4223
179	363236.081
180	362811.1104
181	362413.0938
182	362001.2123
183	361442.8778
184	360686.003
185	360055.9691
186	359499.2743
187	359019.8403
188	358553.0253
189	357870.8543
190	357447.4667
191	356973.6206
192	356675.7919
193	356268.0967
194	355758.6324
195	355325.7122
196	354792.5207
197	354398.4153
198	353715.3311
199	353169.9468
200	352720.7232
201	352346.007
202	351629.7039
203	351277.7642
204	350861.5378
205	350457.2012
206	349958.9086
207	349678.0421
208	349511.7303
209	349125.1103
210	348969.1331
211	348446.6853
212	348150.0389
213	347819.336
214	347437.6403
215	346774.3436
216	346398.6864
217	346089.999
218	345834.1297
219	345474.3736
220	345135.1855
221	344657.6802
222	344368.1491
223	344037.1402
224	343749.4554
225	343424.6352
226	342999.4869
227	342784.0593
228	342443.7586
229	342081.011
230	341794.0726
231	341329.4405
232	340965.3929
233	340615.4464
234	340268.3586
235	340030.9346
236	339803.0028
237	339586.8789
238	339193.8938
239	339088.4922
240	338759.621
241	338416.49
242	338162.6696
243	337891.3054
244	337643.0036
245	337281.3684
246	337110.9833
247	336642.7035
248	336365.0652
249	336120.1921
250	336029.6828
251	335800.138
252	335601.3742
253	335371.9251
254	335137.4195
255	334817.4515
256	334541.1974
257	334245.1094
258	333960.429
259	333581.4131
260	333223.1111
261	333003.0316
262	332698.5416
263	332481.1008
264	332184.257
265	331889.2262
266	331582.4514
267	331309.8293
268	331045.5879
269	330768.1933
270	330578.2808
271	330425.0702
272	330151.2868
273	329868.1408
274	329603.0709
275	329272.4609
276	329015.5544
277	328877.8244
278	328502.5289
279	328212.9818
280	327975.8144
281	327773.5067
282	327488.0819
283	327264.2258
284	327019.9859
285	326762.9994
286	326606.1825
287	326331.901
288	326095.2977
289	325883.8344
290	325643.4976
291	325376.6087
292	325150.0456
293	324846.712
294	324596.6343
295	324468.562
296	324261.2053
297	324040.929
298	323834.6199
299	323608.5218
300	323387.5816
301	323224.3738
302	323002.1039
303	322742.483
304	322529.1583
305	322380.6383
306	322236.5791
307	321896.7151
308	321676.5804
309	321399.4431
310	321138.5376
311	320924.1303
312	320731.4488
313	320527.3237
314	320336.4103
315	320077.1565
316	319905.0443
317	319606.9545
318	319419.4756
319	319267.4217
320	319034.3862
321	318832.2375
322	318656.398
323	318525.4504
324	318314.0942
325	318085.1352
326	317816.094
327	317655.7088
328	317471.7434
329	317279.7168
330	317104.1961
331	316935.0295
332	316761.2382
333	316575.0317
334	316418.5946
335	316232.0749
336	316015.0909
337	315895.0379
338	315792.6531
339	315588.2308
340	315401.0203
341	315173.6023
342	314990.5306
343	314842.2239
344	314634.4921
345	314451.446
346	314295.1551
347	314129.3996
348	313878.4862
349	313731.0089
350	313610.6751
351	313444.5635
352	313268.4189
353	313129.6868
354	312939.6241
355	312756.7189
356	312624.9373
357	312459.0163
358	312350.6995
359	312127.1749
360	311951.8053
361	311855.4106
362	311679.134
363	311448.6036
364	311305.2062
365	311199.4401
366	311041.8459
367	310913.3171
368	310723.0308
369	310596.8685
370	310459.7601
371	310200.2649
372	310050.3373
373	309962.0025
374	309824.5565
375	309599.5808
376	309419.2057
377	309307.2372
378	309166.1163
379	309031.0925
380	308852.6126
381	308703.6301
382	308557.339
383	308464.8416
384	308256.4266
385	308114.1811
386	307981.941
387	307819.918
388	307585.2914
389	307441.3313
390	307233.0185
391	307119.8528
392	306973.4334
393	306783.6515
394	306638.7848
395	306511.1518
396	306338.5614
397	306217.8629
398	306113.5236
399	305896.524
400	305824.9575
401	305648.1952
402	305513.9857
403	305364.5255
404	305236.0322
405	305195.1048
406	305014.3017
407	304916.8004
408	304807.5686
409	304671.0854
410	304557.0905
411	304467.8903
412	304304.9554
413	304168.9816
414	303974.8233
415	303794.6193
416	303690.3901
417	303580.8456
418	303441.9335
419	303320.5696
420	303113.1374
421	303027.3351
422	302933.3088
423	302818.0971
424	302697.3594
425	302509.7851
426	302413.6809
427	302319.5453
428	302214.8233
429	302048.1569
430	301918.2224
431	301834.1869
432	301729.3599
433	301634.0581
434	301502.5636
435	301353.9231
436	301255.8339
437	301153.6051
438	301117.4004
439	300989.6681
440	300866.5139
441	300793.3997
442	300673.7693
443	300532.7142
444	300397.7324
445	300297.7694
446	300109.7716
447	299994.4008
448	299847.9271
449	299613.4358
450	299546.2207
451	299462.0023
452	299362.2821
453	299255.0619
454	299181.1086
455	299104.2599
456	299002.9386
457	298885.7127
458	298752.1407
459	298645.437
460	298540.7899
461	298430.4953
462	298361.092
463	298281.6012
464	298191.2855
465	298102.1252
466	297955.2406
467	297829.2777
468	297726.1073
469	297620.0337
470	297513.925
471	297405.015
472	297257.6596
473	297203.7657
474	297131.3658
475	297040.3637
476	296940.5023
477	296870.9228
478	296818.4286
479	296732.0074
480	296590.4856
481	296466.9558
482	296360.0528
483	296241.0942
484	296092.6376
485	295988.9502
486	295902.2397
487	295811.1022
488	295703.6918
489	295546.0087
490	295453.4555
491	295286.5765
492	295178.9061
493	295100.3697
494	295033.3119
495	294992.7128
496	294922.5142
497	294884.9172
498	294834.8647
499	294754.2299
500	294649.8467
501	294563.919
502	294450.4031
503	294370.7724
504	294290.5666
505	294199.6087
506	294107.9452
507	294022.7231
508	293896.7182
509	293821.108
510	293667.0397
511	293580.7515
512	293451.0355
513	293380.2803
514	293281.647
515	293175.3537
516	293096.3393
517	293007.7576
518	292937.6403
519	292793.9404
520	292716.6822
521	292635.2479
522	292567.1805
523	292490.6744
524	292424.9556
525	292319.6946
526	292234.0603
527	292155.5219
528	292056.3263
529	291956.7936
530	291884.6086
531	291827.4838
532	291754.7921
533	291610.7189
534	291543.7041
535	291446.8864
536	291354.3558
537	291261.3348
538	291225.8172
539	291161.538
540	291087.8731
541	291014.7524
542	290925.489
543	290839.1277
544	290776.8939
545	290722.5074
546	290535.1621
547	290424.5684
548	290347.2694
