iter	Passed	Remaining
0	232	231835
1	249	124709
2	269	89689
3	289	72137
4	308	61319
5	327	54182
6	346	49101
7	365	45276
8	382	42144
9	400	39633
10	416	37487
11	430	35476
12	447	33981
13	464	32703
14	477	31333
15	491	30198
16	505	29247
17	518	28277
18	536	27704
19	552	27081
20	568	26496
21	584	25970
22	599	25469
23	615	25042
24	631	24637
25	650	24352
26	666	24031
27	683	23737
28	704	23580
29	793	25644
30	844	26394
31	896	27122
32	947	27775
33	986	28032
34	1023	28218
35	1041	27886
36	1064	27704
37	1078	27292
38	1091	26890
39	1104	26498
40	1116	26108
41	1128	25747
42	1141	25404
43	1154	25076
44	1166	24753
45	1179	24451
46	1191	24162
47	1203	23871
48	1216	23602
49	1228	23336
50	1240	23083
51	1254	22867
52	1266	22631
53	1278	22405
54	1291	22191
55	1303	21976
56	1317	21804
57	1333	21654
58	1349	21527
59	1365	21394
60	1383	21299
61	1404	21246
62	1433	21314
63	1448	21186
64	1462	21044
65	1478	20916
66	1494	20805
67	1507	20655
68	1531	20669
69	1545	20537
70	1559	20404
71	1571	20259
72	1583	20108
73	1595	19967
74	1608	19837
75	1621	19708
76	1633	19576
77	1645	19445
78	1657	19325
79	1671	19224
80	1694	19227
81	1713	19186
82	1732	19135
83	1747	19058
84	1761	18962
85	1781	18931
86	1797	18863
87	1826	18928
88	1849	18927
89	1874	18948
90	1895	18932
91	1915	18904
92	1936	18885
93	1969	18980
94	1994	19003
95	2009	18923
96	2024	18850
97	2038	18763
98	2053	18685
99	2067	18603
100	2081	18525
101	2095	18451
102	2118	18452
103	2135	18396
104	2154	18361
105	2181	18398
106	2196	18332
107	2231	18432
108	2250	18397
109	2268	18352
110	2286	18311
111	2303	18263
112	2320	18216
113	2338	18170
114	2357	18139
115	2380	18144
116	2408	18174
117	2436	18211
118	2455	18176
119	2473	18138
120	2491	18099
121	2515	18100
122	2545	18146
123	2562	18104
124	2581	18068
125	2600	18038
126	2615	17976
127	2629	17913
128	2643	17850
129	2657	17785
130	2671	17722
131	2695	17723
132	2714	17698
133	2744	17735
134	2760	17689
135	2775	17631
136	2788	17567
137	2814	17579
138	2829	17525
139	2851	17517
140	2882	17560
141	2898	17515
142	2913	17462
143	2929	17411
144	2943	17358
145	2958	17302
146	2972	17247
147	2987	17196
148	3001	17143
149	3016	17093
150	3033	17056
151	3060	17076
152	3090	17108
153	3104	17056
154	3118	17001
155	3131	16940
156	3144	16884
157	3157	16826
158	3170	16767
159	3182	16708
160	3194	16649
161	3208	16594
162	3220	16539
163	3232	16478
164	3245	16422
165	3258	16368
166	3270	16314
167	3283	16260
168	3295	16204
169	3308	16153
170	3320	16099
171	3332	16043
172	3344	15988
173	3357	15938
174	3368	15881
175	3381	15831
176	3394	15785
177	3407	15735
178	3421	15692
179	3442	15684
180	3458	15649
181	3473	15612
182	3494	15599
183	3508	15560
184	3522	15516
185	3536	15475
186	3551	15440
187	3565	15401
188	3579	15357
189	3592	15314
190	3607	15281
191	3623	15249
192	3638	15213
193	3654	15182
194	3668	15146
195	3685	15116
196	3701	15087
197	3716	15055
198	3731	15020
199	3744	14979
200	3757	14937
201	3769	14891
202	3782	14850
203	3793	14802
204	3806	14760
205	3819	14723
206	3832	14681
207	3844	14638
208	3856	14594
209	3869	14556
210	3884	14524
211	3897	14488
212	3908	14442
213	3921	14402
214	3934	14367
215	3948	14331
216	3960	14291
217	3972	14250
